| i  | V                                        | fitness              | AH3                  | AF3                 | AF5                 | A3N3                | s                 | tau                | lambda1              | lambda2             |
| 0  | 0.00000159666791715514581445059180687    | 1.19740301301552e-11 | 0.6709773628283102   | -98.85367004976318  | -79.33266626904529  | -32.12564227999147  | 99.66285271508251 | 54.141987952948924 | -2.14546603077686e-8 | 2.14775897904411e-8 |
| 1  | 0.000000991675823897188982760904710223   | 2.32044831923486e-12 | -0.3735189133087289  | -98.114641497062    | -93.71726557836901  | 38.17537005291456   | 94.49383901882247 | 94.5305644568772   | -1.36421917272153e-8 | 1.36464619050190e-8 |
| 2  | 0.0000146187966089146982682361874950     | 3.28522657483965e-11 | 4.390951392016575    | -39.77928674383273  | -18.51427580255573  | -57.012092550576796 | 98.07367239748027 | 16.709733117585333 | -1.48116138515877e-7 | 1.48111359468331e-7 |
| 3  | 0.000371284044757581421346975814046      | 6.38170556143382e-9  | 66.12912010815285    | -33.57848786622024  | -35.31220265099539  | -34.79090090017556  | 94.85854682689082 | 5.417747054957389  | -2.54126040538762e-6 | 2.54124765864050e-6 |
| 4  | 0.000000494985266968925164357973999624   | 1.22954672384717e-12 | 0.4499583637400377   | 32.3221787996892    | -84.16481340968824  | -31.928736480266267 | 96.88056061729708 | 72.905037377012    | -1.51161332290331e-8 | 1.51181147685816e-8 |
| 5  | 0.000132374168141364130209594596188      | 6.76293178058927e-10 | 21.29779604462965    | -36.12457213748566  | -5.686229288164782  | -48.72763594434031  | 94.9368453699355  | 7.825773960253546  | -8.27290164535300e-7 | 8.27296391829612e-7 |
| 6  | 0.00000231339152961152711503352297218    | 7.95339733834142e-12 | 0.7283298857796012   | -34.487038947012906 | 11.053854578749522  | -18.226383734991188 | 95.82675777382377 | 29.27876169690684  | -2.75147522613768e-8 | 2.75291194512635e-8 |
| 7  | 0.000123857737524535397840089179233      | 1.85338660669010e-10 | 10.234472134996622   | -72.34095834697692  | -47.91906589819372  | 24.17614733478534   | 98.53052266349884 | 9.970525688811339  | -3.80812240537674e-7 | 3.80891309906947e-7 |
| 8  | 0.0000310184717155548281600739579655     | 4.39018492465586e-11 | 4.403627617062256    | -36.72603554592404  | -82.79827160178401  | -21.657443812681976 | 99.26573240856173 | 12.656282387596873 | -1.47844862216714e-7 | 1.47885984530471e-7 |
| 9  | 0.00000245496090778430884956772158045    | 9.66376194894290e-12 | 1.4057798337128418   | -95.80476943404217  | -9.627209427484942  | -54.056772612036916 | 93.83202205093006 | 41.60689239001525  | -5.66316627210317e-8 | 5.66447095070051e-8 |
| 10 | 0.0000155226464479172823361305399992     | 3.80059116781082e-11 | 5.407712250457692    | -97.5227481444291   | 36.223811267507415  | -99.21908712822515  | 98.6491161106217  | 21.860457647065267 | -1.78823876046266e-7 | 1.78830967233159e-7 |
| 11 | 0.00000142893707430770230353662356843    | 6.46785752022557e-11 | 6.236850242150922    | -2.8074070699589697 | -31.67598250960559  | -97.09456889657326  | 99.65237434739444 | 15.873938444199409 | -1.90049646269848e-7 | 1.90099132496853e-7 |
| 12 | 0.0000505446620279692313362253364151     | 7.91811793261669e-11 | 2.200527099255595    | -24.386614180992012 | -92.52679167258519  | 32.46534649456808   | 99.33381697877589 | 9.366381313086613  | -9.74396702684968e-8 | 9.75806036705405e-8 |
| 13 | 0.00000594359360929973038579566049777    | 6.98854481312078e-10 | 2.4723226304365937   | -99.96446917613176  | -96.48441277995228  | -75.13638471273553  | 99.40398177449265 | 34.322960282268674 | -7.80881834097138e-8 | 7.94722542113172e-8 |
| 14 | 0.00000191661023310790623307175474521    | 8.42939831596412e-12 | 1.2785398541255972   | -99.08244672948531  | -39.8454573482931   | -55.33722460212807  | 99.23548851192136 | 46.719339667473605 | -4.09981793877087e-8 | 4.10113548687776e-8 |
| 15 | 0.000000729412784643193997459508295944   | 5.22500313586390e-12 | -1.1280288755380496  | -49.736903294016784 | -67.72102131032207  | 93.38555267331202   | 94.75931632895916 | 81.05879346507592  | -4.16868905587814e-8 | 4.16938651161682e-8 |
| 16 | 0.0000122354708844467173880013466380     | 1.00720873241760e-11 | -0.11013085726882821 | -71.14833310450359  | 77.60081064244429   | 14.247271365813745  | 91.64616145885557 | 21.5258733943694   | -1.86257710549629e-8 | 1.86208216910279e-8 |
| 17 | 0.00000377324211144947010439622617217    | 1.67815587321224e-11 | 2.799476477068268    | -94.58657675617204  | -69.18502707504912  | -95.73695339753871  | 98.14126165706134 | 36.64603668627433  | -9.28893040166105e-8 | 9.29043738294021e-8 |
| 18 | 0.00000275460650412710506741860959357    | 4.63392182145583e-12 | 1.4150543288096884   | -69.45259873841161  | 22.029771335349608  | -45.36601719443769  | 92.65092131938246 | 34.848188914855136 | -6.00788324955366e-8 | 6.00812156410160e-8 |
| 19 | 0.0000158317421629298852887163251424     | 4.29956616118286e-10 | 15.395563601794976   | -2.4282506037008034 | -35.65432881666548  | -83.7412083762519   | 98.09891907432663 | 6.458129032496151  | -5.00818770253320e-7 | 5.01141280532740e-7 |
| 20 | 0.0000682531555027325831331783123623     | 1.09065855460269e-10 | 9.202741521951424    | -70.85836350029294  | -67.92805015707684  | -37.91529886986995  | 99.17357070263296 | 12.066767308644998 | -3.11658244721717e-7 | 3.11670166366381e-7 |
| 21 | 0.000000358266092221882665748954044371   | 9.00490068292202e-12 | 0.2319149015875155   | 1.4490695153594828  | -81.05817759938066  | -3.839574668797056  | 96.56217673539882 | 21.27275327598339  | -7.90134419055947e-9 | 7.89687400458330e-9 |
| 22 | 0.0000517358940704620864589093065522     | 6.50515510194531e-11 | 4.772772160503607    | -84.21771030142556  | -67.61178668161696  | -23.870922509049237 | 90.71608064371195 | 14.469473125867783 | -2.41040371310103e-7 | 2.41033316804419e-7 |
| 23 | 0.0000125200230676363651743931981741     | 5.86102756957005e-11 | 5.10330236646513     | -49.92545095832013  | -99.8613502514625   | -85.61097063151004  | 94.95991253879761 | 19.5820094675069   | -1.93690855686702e-7 | 1.93732924385649e-7 |
| 24 | 0.00000521063040849581741650875521543    | 2.47383878999320e-11 | 2.486300386465416    | -24.109326772648146 | 29.121077270902532  | -45.0038073845221   | 90.91348066599075 | 20.030764215963327 | -1.12111183397283e-7 | 1.12104571624200e-7 |
| 25 | 0.00000202130317224957623922602933941    | 5.70149232200022e-11 | 5.325464228168528    | -4.6645305430613035 | -98.71032673974014  | -93.80710678140211  | 99.15415762101327 | 18.21983680244781  | -1.65702563358720e-7 | 1.65756475833652e-7 |
| 26 | 0.0000403068689239510514468398105770     | 9.81518467708333e-11 | 6.10955665097093     | -90.4564632509508   | 21.94097850970236   | -58.56037482956529  | 93.42536046067389 | 15.859907241096849 | -2.60721347711233e-7 | 2.60788138244061e-7 |
| 27 | 0.000000643834362706950118501812285049   | 7.38157398223031e-12 | 2.319562133404247    | -28.907512826402538 | 4.401694193170755   | -95.17561365864276  | 99.94942826283652 | 41.589530275985766 | -7.02329368878340e-8 | 7.02367299816286e-8 |
| 28 | 0.0000170719733967088952515580441149     | 2.08906292162599e-11 | 3.30472676663247     | -95.28119404708502  | -38.193162796446735 | -48.06637525012234  | 99.79485466554262 | 21.157466224963073 | -1.08300205682235e-7 | 1.08316367601105e-7 |
| 29 | 0.0000803281720881537252996681952588     | 1.39869347035649e-10 | 10.27223292686439    | -32.9219547052447   | -2.585819913244535  | -9.401100343780257  | 98.88383535668459 | 8.841235634010825  | -3.49695174252472e-7 | 3.49717917757895e-7 |
| 30 | 0.0000301081952495638588407616403897     | 4.80873201436053e-10 | 2.5937795690595493   | -16.61850923364763  | -51.44958999847577  | 5.704394717614065   | 98.92204598670898 | 9.885859953183829  | -9.33059796037535e-8 | 9.42497392172241e-8 |
| 31 | 0.00000287421633167407093332676448760    | 2.46188067586162e-12 | 0.4609379154001374   | -32.26344256807663  | -49.1767914450522   | -8.546925082147538  | 97.80713958946829 | 27.970072582037197 | -1.67597692213827e-8 | 1.67641020588382e-8 |
| 32 | 0.0000000121312668996670220319922771368  | 7.05479604715652e-12 | 1.2410788950127767   | 40.27162967158267   | -80.65277474331698  | -60.79222360293342  | 97.83197094208242 | 48.99448501105967  | -4.00959059207201e-8 | 4.01065897474401e-8 |
| 33 | 0.00000111889775727719471831722586330    | 1.12620287898218e-11 | 0.6782971504170092   | 98.13894995160473   | -65.75595226588146  | -51.396232094048685 | 71.97909613765235 | 75.82632100539008  | -7.39020918379473e-8 | 7.39183059856422e-8 |
| 34 | 0.00000185171504076251337362257406993    | 2.60882013720266e-12 | -1.3531119294638358  | -97.38288506555408  | -85.33512862902526  | 72.72279019741242   | 99.7807600272419  | 50.32314686188323  | -3.98164088030606e-8 | 3.98181132056000e-8 |
| 35 | 0.0000244934569747424067827877569581     | 1.61543030359484e-10 | 6.928753175216968    | -6.501142927043915  | 16.5839269418679    | -40.91844885109997  | 83.66542187350919 | 8.063651156768136  | -4.32406156352076e-7 | 4.32438860603742e-7 |
| 36 | 0.00000198244458199586563935164912342    | 2.57760081081870e-11 | 0.4130839387083398   | -9.507333954106656  | -62.377108726745114 | -10.709750089710695 | 75.67241039117718 | 30.749871926566243 | -3.87480949550528e-8 | 3.87356851510110e-8 |
| 37 | 0.000102754000935142289301603424345      | 1.47487635017837e-10 | 8.410145197386925    | -35.126396792897935 | 5.097292310287955   | 13.84943026701562   | 92.49997056822826 | 8.507491596788597  | -3.91985343189724e-7 | 3.92004832577371e-7 |
| 38 | 0.0000205782104818665976945276513410     | 1.47459364311546e-10 | 6.928456364504058    | -44.75200862098481  | 76.29006412980735   | -90.60044473559954  | 91.42971771347158 | 15.639187304539847 | -3.06846026811008e-7 | 3.06815820408905e-7 |
| 39 | 0.0000318823079485481151377872233166     | 1.42781813821636e-10 | 10.44386954102923    | -12.853375291559146 | 84.13455255194583   | -62.97107419505288  | 96.28277112629787 | 8.810294733002344  | -3.72743310988962e-7 | 3.72743735204340e-7 |
