Name,epoch,exponent,pop_size,seed_max,seed_min,sigma_end,sigma_start
IWO0,50,2.00,20,4.00,1.00,0.05,0.50
IWO1,50,2.00,20,4.00,1.00,0.10,0.50
IWO2,50,2.00,20,4.00,1.00,0.15,0.50
IWO3,50,2.00,20,4.00,1.00,0.20,0.50
IWO4,50,2.00,20,4.00,1.00,0.25,0.50
IWO5,50,2.00,20,4.00,1.00,0.05,1.00
IWO6,50,2.00,20,4.00,1.00,0.10,1.00
IWO7,50,2.00,20,4.00,1.00,0.15,1.00
IWO8,50,2.00,20,4.00,1.00,0.20,1.00
IWO9,50,2.00,20,4.00,1.00,0.25,1.00
IWO10,50,2.00,20,4.00,1.00,0.05,1.50
IWO11,50,2.00,20,4.00,1.00,0.10,1.50
IWO12,50,2.00,20,4.00,1.00,0.15,1.50
IWO13,50,2.00,20,4.00,1.00,0.20,1.50
IWO14,50,2.00,20,4.00,1.00,0.25,1.50
IWO15,50,2.00,20,4.00,1.00,0.05,2.00

