Identifier,Author,Title,Year,Journal,Booktitle,Publisher,Address,Volume,Number,Pages,DOI,URL
Wilson2014,"Wilson, Greg and Aruliah, D. A. and Brown, C. Titus and Chue Hong, Neil P. and Davis, Matt and Guy, Richard T. and Haddock, Steven H. D. and Huff, Kathryn D. and Mitchell, Ian M. and Plumbley, Mark D. and Waugh, Ben and White, Ethan P. and Wilson, Paul",Best Practices for Scientific Computing,2014,PLoS Biology,,Public Library of Science (PLoS),,12,1,e1001745,10.1371/journal.pbio.1001745,http://dx.doi.org/10.1371/journal.pbio.1001745
Du2004,"Du, Qiang",Some perspective on the Large Scale Scientific Computation Research,2004,Science in China Series A: Mathematics,,Springer Science and Business Media LLC,,47,S1,1{\textendash}3,10.1007/bf02894554,http://dx.doi.org/10.1007/bf02894554
McMillan1985,"MCMILLAN, T",SCIENTIFIC COMPUTING,1985,POPULAR COMPUTING,,BYTE PUBL INC,"70 MAIN ST, PETERBOROUGH, NH 03458",4,6,67,,
Wolpert1997,"Wolpert, D.H. and Macready, W.G.",No free lunch theorems for optimization,1997,IEEE Transactions on Evolutionary Computation,,Institute of Electrical and Electronics Engineers (IEEE),,1,1,67{\textendash}82,10.1109/4235.585893,http://dx.doi.org/10.1109/4235.585893
Kirkpatrick1983,"Kirkpatrick, S. and Gelatt, C. D. and Vecchi, M. P.",Optimization by Simulated Annealing,1983,Science,,American Association for the Advancement of Science (AAAS),,220,4598,671{\textendash}680,10.1126/science.220.4598.671,http://dx.doi.org/10.1126/science.220.4598.671
Eiben2015,"Eiben, A.E. and Smith, J.E.",Introduction to Evolutionary Computing,2015,Natural Computing Series,,Springer Berlin Heidelberg,,,,,10.1007/978-3-662-44874-8,http://dx.doi.org/10.1007/978-3-662-44874-8
Yang2017,"Yang, Xin-She",Nature-Inspired Algorithms and Applied Optimization,2017,,,Springer,,,,330,,https://openlibrary.org/books/OL27946749M/Nature-Inspired_Algorithms_and_Applied_Optimization
Prasad2014,"Prasad, J and Souradeep, T",Cosmological parameter estimation using Particle Swarm Optimization,2014,Journal of Physics: Conference Series,,IOP Publishing,,484,,12047,10.1088/1742-6596/484/1/012047,http://dx.doi.org/10.1088/1742-6596/484/1/012047
Yang2020a,"Yang, Xin-She and Karamanoglu, Mehmet",Chapter 1 - Nature-inspired computation and swarm intelligence: a state-of-the-art overview,2020,Nature-Inspired Computation and Swarm Intelligence,Nature-Inspired Computation and Swarm Intelligence,Academic Press,,,,3-18,https://doi.org/10.1016/B978-0-12-819714-1.00010-5,https://www.sciencedirect.com/science/article/pii/B9780128197141000105
Ma2023,"Ma, Zhongqiang and Wu, Guohua and Suganthan, Ponnuthurai Nagaratnam and Song, Aijuan and Luo, Qizhang","Performance assessment and exhaustive listing of 500+nature-inspired
metaheuristic algorithms",2023,SWARM AND EVOLUTIONARY COMPUTATION,,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",77,,,10.1016/j.swevo.2023.101248,
Yenduri2024,"Yenduri, Gokul and Ramalingam, M. and Selvi, G. Chemmalar and Supriya, Y. and Srivastava, Gautam and Maddikunta, Praveen Kumar Reddy and Raj, G. Deepti and Jhaveri, Rutvij H. and Prabadevi, B. and Wang, Weizheng and Vasilakos, Athanasios V. and Gadekallu, Thippa Reddy","GPT (Generative Pre-Trained Transformer){\textemdash} A Comprehensive Review on Enabling Technologies, Potential Applications, Emerging Challenges, and Future Directions",2024,IEEE Access,,Institute of Electrical and Electronics Engineers (IEEE),,12,,54608{\textendash}54649,10.1109/access.2024.3389497,http://dx.doi.org/10.1109/ACCESS.2024.3389497
Park2024,"Park, Ki-Seong and Choi, Hongyoon","How to Harness the Power of GPT for Scientific Research: A Comprehensive Review of Methodologies, Applications, and Ethical Considerations",2024,Nuclear Medicine and Molecular Imaging,,Springer Science and Business Media LLC,,58,6,323{\textendash}331,10.1007/s13139-024-00876-z,http://dx.doi.org/10.1007/s13139-024-00876-z
Yang2010,"Yang, Xin-She",Nature-Inspired Metaheuristic Algorithms,2010,,,Luniver Press,,,,160,,https://openlibrary.org/books/OL35708732M/Nature-Inspired_Metaheuristic_Algorithms
Lones2014,"Lones, Michael A.",Metaheuristics in nature-inspired algorithms,2014,Proceedings of the Companion Publication of the 2014 Annual Conference on Genetic and Evolutionary Computation,Proceedings of the Companion Publication of the 2014 Annual Conference on Genetic and Evolutionary Computation,ACM,,,,1419{\textendash}1422,10.1145/2598394.2609841,http://dx.doi.org/10.1145/2598394.2609841
Holland1992,"Holland, John H.","Adaptation in Natural and Artificial Systems: An Introductory Analysis with Applications to Biology, Control, and Artificial Intelligence",1992,,,The MIT Press,,,,,10.7551/mitpress/1090.001.0001,http://dx.doi.org/10.7551/mitpress/1090.001.0001
Halverson2020,"Halverson, James and Long, Cody",Statistical Predictions in String Theory and Deep Generative Models,2020,,,,,,,,10.1002/prop.202000005,https://doi.org/10.1002/prop.202000005
Cole2021,"Cole, Alex and Krippendorf, Sven and Schachner, Andreas and Shiu, Gary",Probing the Structure of String Theory Vacua with Genetic Algorithms and Reinforcement Learning,2021,,,,,,,,,
Becker2007,"Becker, Katrin and Becker, Melanie and Schwarz, John H.",String Theory and M-Theory,2007,,,Cambridge University Press,,,,756,,https://openlibrary.org/books/OL7767114M/String_Theory_and_M-Theory
Rickles2014,"Rickles, Dean",A Brief History of String Theory: From Dual Models to M-Theory,2014,The Frontiers Collection,,Springer Berlin Heidelberg,,,,,10.1007/978-3-642-45128-7,http://dx.doi.org/10.1007/978-3-642-45128-7
Vafa2005,"Vafa, Cumrun",The String Landscape and the Swampland,2005,,,,,,,,,
Ooguri2007,"Ooguri, Hirosi and Vafa, Cumrun",On the geometry of the string landscape and the swampland,2007,Nuclear Physics B,,Elsevier BV,,766,1{\textendash}3,21{\textendash}33,10.1016/j.nuclphysb.2006.10.033,http://dx.doi.org/10.1016/j.nuclphysb.2006.10.033
Palti2019,"Palti, Eran",The Swampland: Introduction and Review,2019,Fortschritte der Physik,,Wiley,,67,6,,10.1002/prop.201900037,http://dx.doi.org/10.1002/prop.201900037
Wang2010,"Wang, Yanchao and Lv, Jian and Zhu, Li and Ma, Yanming",Crystal structure prediction via particle-swarm optimization,2010,Physical Review B,,American Physical Society (APS),,82,9,,10.1103/physrevb.82.094116,http://dx.doi.org/10.1103/PhysRevB.82.094116
Megantoro2025,"Megantoro, Prisma and Halim, Syahirah Abd and Kamari, Nor Azwan Mohamed and Awalin, Lilik Jamilatul and Ali, Mohd Syukri and Rosli, Hazwani Mohd",Optimizing reactive power dispatch with metaheuristic algorithms: A review of renewable distributed generation integration with intermittency considerations,2025,Energy Reports,,Elsevier BV,,13,,397{\textendash}423,10.1016/j.egyr.2024.12.020,http://dx.doi.org/10.1016/j.egyr.2024.12.020
Bizet2020,"Bizet, Nana Cabo and Damian, Cesar and Loaiza-Brito, Oscar and Mayorga Pe{\~n}a, Dami{\'a}n Kaloni and Monta{\~n}ez-Barrera, J. A.",Testing swampland conjectures with machine learning,2020,The European Physical Journal C,,Springer Science and Business Media LLC,,80,8,,10.1140/epjc/s10052-020-8332-9,http://dx.doi.org/10.1140/epjc/s10052-020-8332-9
Lanza2025,"Lanza, Stefano and Westphal, Alexander",Uplifts in the penumbra: features of the moduli potential away from infinite-distance boundaries,2025,Journal of High Energy Physics,,Springer Science and Business Media LLC,,2025,5,,10.1007/jhep05(2025)071,http://dx.doi.org/10.1007/JHEP05(2025)071
Gao2022,"Gao, Xin and Zou, Hao",Applying machine learning to the Calabi-Yau orientifolds with string vacua,2022,Physical Review D,,American Physical Society (APS),,105,4,,10.1103/physrevd.105.046017,http://dx.doi.org/10.1103/PhysRevD.105.046017
DeLuca2025,"De Luca, G. Bruno",Machine Learning gravity compactifications on negatively curved manifolds,2025,Journal of High Energy Physics,,Springer Science and Business Media LLC,,2025,9,,10.1007/jhep09(2025)090,http://dx.doi.org/10.1007/JHEP09(2025)090
Abel2014,"Abel, Steven and Rizos, John",Genetic algorithms and the search for viable string vacua,2014,Journal of High Energy Physics,,Springer Science and Business Media LLC,,2014,8,,10.1007/jhep08(2014)010,http://dx.doi.org/10.1007/JHEP08(2014)010
He2025,"He, Yang-Hui and Jejjala, Vishnu and Silva, Tom{\'a}s S.R.",Metaheuristic generation of brane tilings,2025,Physics Letters B,,Elsevier BV,,862,,139365,10.1016/j.physletb.2025.139365,http://dx.doi.org/10.1016/j.physletb.2025.139365
Damian2022,"Damian, Cesar and Loaiza-Brito, Oscar",Metastable vacua from torsion and machine learning,2022,The European Physical Journal C,,Springer Science and Business Media LLC,,82,12,,10.1140/epjc/s10052-022-11118-x,http://dx.doi.org/10.1140/epjc/s10052-022-11118-x
